,Unnamed: 0,row_i,thing, preferredLabel, index,cw_number,cw1_dateModified,cw1_category,cw2_dateModified,cw2_category,cw3_dateModified,cw3_category,cw4_dateModified,cw4_category,cw5_dateModified,cw5_category,cw6_dateModified,cw6_category,cw7_dateModified,cw7_category,cw8_dateModified,cw8_category,cw9_dateModified,cw9_category,cw10_dateModified,cw10_category,cw11_dateModified,cw11_category,cw12_dateModified,cw12_category,cw13_dateModified,cw13_category,cw14_dateModified,cw14_category,cw15_dateModified,cw15_category,cw16_dateModified,cw16_category,cw17_dateModified,cw17_category,cw18_dateModified,cw18_category,cw19_dateModified,cw19_category,cw20_dateModified,cw20_category
0,0,0,5257a7f4-b161-41de-a593-028b487e680f, Cagliari, http://www.bbc.co.uk/sport/football/teams/cagliari,20,20/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,19/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,18/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,04/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,02/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,01/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,05/08/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,14/05/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,05/04/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,04/04/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,03/04/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,02/04/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,03/11/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,02/11/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,20/09/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,17/08/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,17/04/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,25/11/17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,01/10/17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,24/09/17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News
1,1,1,6db79414-364f-e948-b3cb-5dcf987f799e, Wigan Athletic, http://www.bbc.co.uk/sport/football/teams/wigan-athletic,20,09/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,02/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,27/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,27/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,23/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,20/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,18/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,16/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,07/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,05/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,01/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,27/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,25/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,21/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,14/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,02/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,31/08/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,24/08/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,20/08/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,17/08/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News
2,2,2,38f33530-7e5c-784c-ac36-ebcda328426b, Barrow, http://www.bbc.co.uk/sport/football/teams/barrow,20,02/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,29/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,26/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,19/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,14/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,14/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,05/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,01/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,28/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,27/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,25/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,24/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,21/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,18/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,14/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,10/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,07/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,04/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,03/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News
3,3,3,7d304dc2-9e5c-426f-a2bd-90ec195c7d3a, Chilean Primera Division, http://www.bbc.co.uk/sport/football/chilean-primera-division,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,280cfc54-a128-417c-a74e-b663a7f2f61f, Germany, http://www.bbc.co.uk/sport/football/teams/germany,20,12/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,12/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,09/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,09/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,25/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,17/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,09/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,09/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,06/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,05/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,15/08/19,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,29/06/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,29/06/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,27/06/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,11/06/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News
5,5,5,8e9a589f-555d-44b6-b97a-d6b69183e75a, Women's World Cup, http://www.bbc.co.uk/sport/rugby-union/womens-world-cup,17,16/06/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,21/11/17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,19/10/17,http://www.bbc.co.uk/ontologies/applicationlogic-programmes/Clip,27/08/17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,26/08/17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,11/08/17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,10/08/17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,09/08/17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,09/08/17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,09/08/17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/08/17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/08/17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/08/17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/08/17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,06/08/17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,06/08/17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,06/08/17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,,,,,,
6,6,6,94ba99ae-aeea-42d3-a6f1-71b6cdac0482, 1899 Hoffenheim, http://www.bbc.co.uk/sport/football/teams/hoffenheim,20,05/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,29/08/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,25/02/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,11/02/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,09/02/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,19/12/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,12/12/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,17/10/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,02/10/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,01/10/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,01/10/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,29/09/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,22/09/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,15/09/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,31/08/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,24/08/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,21/08/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,18/08/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,21/06/18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,26/03/18,http://www.bbc.co.uk/ontologies/applicationlogic-news/News
7,7,7,a5695e6f-2e4c-1b42-9b11-af0862edbb2a, Swimming, http://www.bbc.co.uk/sport/swimming,20,12/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,04/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,31/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,30/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,27/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,25/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,23/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,15/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,15/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,15/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,13/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,12/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,11/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,05/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,04/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,04/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,30/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,27/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,27/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,19/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-news/News
8,8,8,7719652d-4013-4e4d-b5a8-f603e57c8c07, Solihull Moors, http://www.bbc.co.uk/sport/football/teams/solihull-moors,20,09/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,09/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,09/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,05/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,05/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,02/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,26/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,16/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,14/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,12/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,05/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,03/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,01/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,01/10/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,29/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,28/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,27/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,24/09/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News
9,9,9,7e4ba3a7-909a-473f-b332-95b5ed42c213, Cycling, http://www.bbc.co.uk/sport/cycling,20,13/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,12/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,11/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,10/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,10/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,10/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,10/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,10/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,10/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,09/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,09/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,08/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,07/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,07/11/19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News
