,Unnamed: 0,Unnamed: 0.1,row_i,thing, preferredLabel, index,cw_number,cw1_dateModified,cw1_category,cw2_dateModified,cw2_category,cw3_dateModified,cw3_category,cw4_dateModified,cw4_category,cw5_dateModified,cw5_category,cw6_dateModified,cw6_category,cw7_dateModified,cw7_category,cw8_dateModified,cw8_category,cw9_dateModified,cw9_category,cw10_dateModified,cw10_category,cw11_dateModified,cw11_category,cw12_dateModified,cw12_category,cw13_dateModified,cw13_category,cw14_dateModified,cw14_category,cw15_dateModified,cw15_category,cw16_dateModified,cw16_category,cw17_dateModified,cw17_category,cw18_dateModified,cw18_category,cw19_dateModified,cw19_category,cw20_dateModified,cw20_category,unique_categories,non_sport_categories,non_sport_category_count
4,4,4,4,280cfc54-a128-417c-a74e-b663a7f2f61f, Germany, http://www.bbc.co.uk/sport/football/teams/germany,20,2019-12-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-12-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-09-10,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-09-10,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-10,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-10,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-09-25,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-09-17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-09-09,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-09-09,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-09,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-09,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-09,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-06-09,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-05-09,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-15,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-06-29,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-06-29,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-06-27,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-11-06,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,,['cw16_category'],1
5,5,5,5,8e9a589f-555d-44b6-b97a-d6b69183e75a, Women's World Cup, http://www.bbc.co.uk/sport/rugby-union/womens-world-cup,17,2019-06-16,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2017-11-21,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2017-10-19,http://www.bbc.co.uk/ontologies/applicationlogic-programmes/Clip,2017-08-27,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2017-08-26,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2017-11-08,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2017-10-08,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2017-09-08,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2017-09-08,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2017-09-08,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2017-08-08,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2017-08-08,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2017-08-08,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2017-08-08,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2017-06-08,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2017-06-08,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2017-06-08,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,,,,,,,,['cw3_category'],1
6,6,6,6,94ba99ae-aeea-42d3-a6f1-71b6cdac0482, 1899 Hoffenheim, http://www.bbc.co.uk/sport/football/teams/hoffenheim,20,2019-05-10,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-29,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-02-25,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-11-02,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-09-02,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2018-12-19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2018-12-12,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2018-10-17,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2018-02-10,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2018-01-10,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2018-01-10,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2018-09-29,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2018-09-22,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2018-09-15,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2018-08-31,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2018-08-24,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2018-08-21,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2018-08-18,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2018-06-21,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2018-03-26,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,,['cw20_category'],1
7,7,7,7,a5695e6f-2e4c-1b42-9b11-af0862edbb2a, Swimming, http://www.bbc.co.uk/sport/swimming,20,2019-12-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-04-11,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-10-31,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-10-30,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-10-27,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-25,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-23,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-10-15,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-15,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-15,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-13,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-12-10,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-11-10,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-05-10,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-04-10,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-04-10,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-09-30,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-09-27,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-09-27,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-09-19,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,,"['cw2_category', 'cw3_category', 'cw4_category', 'cw7_category', 'cw11_category', 'cw13_category', 'cw15_category', 'cw17_category', 'cw18_category', 'cw19_category', 'cw20_category']",11
9,9,9,9,7e4ba3a7-909a-473f-b332-95b5ed42c213, Cycling, http://www.bbc.co.uk/sport/cycling,20,2019-11-13,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-12-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-11-11,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-10-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-09-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-09-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-07-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-07-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,,"['cw1_category', 'cw3_category']",2
10,10,10,10,9ce8f75f-4dc0-0f46-8e1b-742513527baf, Aston Villa, http://www.bbc.co.uk/sport/football/teams/aston-villa,20,2019-10-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-07-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-07-11,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-07-11,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-05-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-02-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-02-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-02-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-01-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-01-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-01-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-31,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-30,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-29,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-26,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-26,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-26,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-25,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,,"['cw5_category', 'cw6_category']",2
12,12,12,12,bb2d8784-45cb-4358-b506-7832b01831fd, Cricket, http://www.bbc.co.uk/sport/cricket,20,2019-11-13,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-12-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-12-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-12-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-12-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-12-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-12-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-12-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-12-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-11-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-11-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-11-11,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-11-11,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-11-11,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-11-11,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-11-11,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-11-11,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-11-11,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-11-11,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-11-11,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,,"['cw12_category', 'cw13_category', 'cw14_category', 'cw15_category', 'cw16_category', 'cw17_category', 'cw18_category', 'cw19_category', 'cw20_category']",9
15,15,15,15,ff55aea0-83d7-834c-afc0-d21045f561e9, Leicester City, http://www.bbc.co.uk/sport/football/teams/leicester-city,20,2019-11-11,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-09-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-09-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-09-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-07-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-07-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-07-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-03-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-03-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-03-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-03-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-03-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-02-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-01-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-01-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-30,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-29,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-29,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-10-28,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-27,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,,"['cw1_category', 'cw18_category', 'cw20_category']",3
18,18,18,18,d65c5dce-f5e4-4340-931b-16ca1848d092, Sailing, http://www.bbc.co.uk/sport/sailing,20,2019-03-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-01-10,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-01-10,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-01-10,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-09-30,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-09-20,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-09-20,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-12-09,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-01-09,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-31,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-23,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-22,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-21,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-19,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-08-13,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-11-08,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-09-08,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-07-08,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-07-24,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-07-23,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,,"['cw7_category', 'cw14_category', 'cw15_category', 'cw18_category']",4
24,24,24,24,c89459f0-13ad-4cec-8bb4-7f4264683228, FC Schalke 04, http://www.bbc.co.uk/sport/football/teams/fc-schalke,20,2019-05-11,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-31,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-24,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-07-08,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-05-07,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-10-06,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-05-19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-05-19,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-09-05,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-04-30,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-04-29,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-04-27,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-03-14,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-12-03,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-11-03,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-08-03,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-07-03,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-02-25,http://www.bbc.co.uk/ontologies/applicationlogic-news/News,2019-02-22,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,2019-02-21,http://www.bbc.co.uk/ontologies/applicationlogic-sport/News,,['cw18_category'],1
